NUM_ELEMENTS,NMB,LOCAL_SIZE,WORK_GROUPS,GIGAMULTS
2048,0.001953,8,256,0.025975
2048,0.001953,16,128,0.024659
2048,0.001953,32,64,0.031346
2048,0.001953,64,32,0.046154
2048,0.001953,128,16,0.048227
2048,0.001953,256,8,0.046939
2048,0.001953,512,4,0.041750
4096,0.003906,8,512,0.076582
4096,0.003906,16,256,0.091938
4096,0.003906,32,128,0.092338
4096,0.003906,64,64,0.080459
4096,0.003906,128,32,0.076317
4096,0.003906,256,16,0.074270
4096,0.003906,512,8,0.091346
8192,0.007812,8,1024,0.165349
8192,0.007812,16,512,0.183462
8192,0.007812,32,256,0.179747
8192,0.007812,64,128,0.165889
8192,0.007812,128,64,0.159874
8192,0.007812,256,32,0.171732
8192,0.007812,512,16,0.142454
16384,0.015625,8,2048,0.316754
16384,0.015625,16,1024,0.200373
16384,0.015625,32,512,0.268182
16384,0.015625,64,256,0.332952
16384,0.015625,128,128,0.175669
16384,0.015625,256,64,0.298552
16384,0.015625,512,32,0.311979
32768,0.031250,8,4096,0.668041
32768,0.031250,16,2048,0.711744
32768,0.031250,32,1024,0.675674
32768,0.031250,64,512,0.752349
32768,0.031250,128,256,0.584497
32768,0.031250,256,128,0.597023
32768,0.031250,512,64,0.650550
65536,0.062500,8,8192,0.974987
65536,0.062500,16,4096,1.102509
65536,0.062500,32,2048,1.581498
65536,0.062500,64,1024,1.323094
65536,0.062500,128,512,1.354000
65536,0.062500,256,256,1.501136
65536,0.062500,512,128,1.505890
131072,0.125000,8,16384,1.866198
131072,0.125000,16,8192,2.312859
131072,0.125000,32,4096,2.904918
131072,0.125000,64,2048,2.740803
131072,0.125000,128,1024,2.349698
131072,0.125000,256,512,2.909061
131072,0.125000,512,256,2.970211
262144,0.250000,8,32768,0.915711
262144,0.250000,16,16384,0.980547
262144,0.250000,32,8192,1.039900
262144,0.250000,64,4096,0.915556
262144,0.250000,128,2048,1.116083
262144,0.250000,256,1024,1.082067
262144,0.250000,512,512,0.872991
524288,0.500000,8,65536,1.195213
524288,0.500000,16,32768,0.748882
524288,0.500000,32,16384,0.079015
524288,0.500000,64,8192,1.893071
524288,0.500000,128,4096,0.036432
524288,0.500000,256,2048,2.153794
524288,0.500000,512,1024,2.143069
1048576,1.000000,8,131072,1.920469
1048576,1.000000,16,65536,2.700887
1048576,1.000000,32,32768,3.313439
1048576,1.000000,64,16384,3.468309
1048576,1.000000,128,8192,3.287884
1048576,1.000000,256,4096,3.665134
1048576,1.000000,512,2048,0.044728
2097152,2.000000,8,262144,0.091935
2097152,2.000000,16,131072,4.544252
2097152,2.000000,32,65536,6.161044
2097152,2.000000,64,32768,6.574464
2097152,2.000000,128,16384,7.681208
2097152,2.000000,256,8192,6.900461
2097152,2.000000,512,4096,3.107169
4194304,4.000000,8,524288,3.721386
4194304,4.000000,16,262144,0.891369
4194304,4.000000,32,131072,0.811216
4194304,4.000000,64,65536,0.298444
4194304,4.000000,128,32768,0.272932
4194304,4.000000,256,16384,0.434035
4194304,4.000000,512,8192,0.534845
8388608,8.000000,8,1048576,4.005810
8388608,8.000000,16,524288,6.426113
8388608,8.000000,32,262144,2.406722
8388608,8.000000,64,131072,15.592643
8388608,8.000000,128,65536,17.537586
8388608,8.000000,256,32768,18.356939
8388608,8.000000,512,16384,17.244963
