NUM_ELEMENTS,NMB,LOCAL_SIZE,WORK_GROUPS,GIGAMULTS
2048,0.001953,8,256,0.041627
2048,0.001953,16,128,0.045239
2048,0.001953,32,64,0.037784
2048,0.001953,64,32,0.045934
2048,0.001953,128,16,0.045411
2048,0.001953,256,8,0.043943
2048,0.001953,512,4,0.045712
4096,0.003906,8,512,0.089886
4096,0.003906,16,256,0.091416
4096,0.003906,32,128,0.092868
4096,0.003906,64,64,0.093735
4096,0.003906,128,32,0.092435
4096,0.003906,256,16,0.094076
4096,0.003906,512,8,0.092017
8192,0.007812,8,1024,0.173901
8192,0.007812,16,512,0.177907
8192,0.007812,32,256,0.183031
8192,0.007812,64,128,0.182700
8192,0.007812,128,64,0.183692
8192,0.007812,256,32,0.182016
8192,0.007812,512,16,0.182219
16384,0.015625,8,2048,0.287807
16384,0.015625,16,1024,0.353662
16384,0.015625,32,512,0.362860
16384,0.015625,64,256,0.368940
16384,0.015625,128,128,0.352690
16384,0.015625,256,64,0.347706
16384,0.015625,512,32,0.306874
32768,0.031250,8,4096,0.544271
32768,0.031250,16,2048,0.708848
32768,0.031250,32,1024,0.606261
32768,0.031250,64,512,0.678816
32768,0.031250,128,256,0.703519
32768,0.031250,256,128,0.715682
32768,0.031250,512,64,0.828140
65536,0.062500,8,8192,1.161162
65536,0.062500,16,4096,1.321181
65536,0.062500,32,2048,1.567721
65536,0.062500,64,1024,1.330977
65536,0.062500,128,512,1.351218
65536,0.062500,256,256,1.188119
65536,0.062500,512,128,1.474741
131072,0.125000,8,16384,1.837376
131072,0.125000,16,8192,1.988857
131072,0.125000,32,4096,2.452984
131072,0.125000,64,2048,2.750659
131072,0.125000,128,1024,2.822880
131072,0.125000,256,512,2.932948
131072,0.125000,512,256,2.466482
262144,0.250000,8,32768,0.580482
262144,0.250000,16,16384,0.564065
262144,0.250000,32,8192,0.500648
262144,0.250000,64,4096,1.083976
262144,0.250000,128,2048,1.104282
262144,0.250000,256,1024,1.094509
262144,0.250000,512,512,0.919090
524288,0.500000,8,65536,1.568014
524288,0.500000,16,32768,1.588966
524288,0.500000,32,16384,1.912558
524288,0.500000,64,8192,2.123818
524288,0.500000,128,4096,2.231148
524288,0.500000,256,2048,0.787203
524288,0.500000,512,1024,1.953880
1048576,1.000000,8,131072,2.168395
1048576,1.000000,16,65536,2.913684
1048576,1.000000,32,32768,3.243463
1048576,1.000000,64,16384,4.093408
1048576,1.000000,128,8192,3.435638
1048576,1.000000,256,4096,3.103978
1048576,1.000000,512,2048,2.263625
2097152,2.000000,8,262144,1.259526
2097152,2.000000,16,131072,0.094070
2097152,2.000000,32,65536,4.150232
2097152,2.000000,64,32768,2.811113
2097152,2.000000,128,16384,4.434938
2097152,2.000000,256,8192,6.825911
2097152,2.000000,512,4096,5.625632
4194304,4.000000,8,524288,0.004569
4194304,4.000000,16,262144,0.651959
4194304,4.000000,32,131072,0.155874
4194304,4.000000,64,65536,10.413838
4194304,4.000000,128,32768,11.333203
4194304,4.000000,256,16384,11.034637
4194304,4.000000,512,8192,10.909857
8388608,8.000000,8,1048576,0.186684
8388608,8.000000,16,524288,2.641129
8388608,8.000000,32,262144,1.141270
8388608,8.000000,64,131072,0.232535
8388608,8.000000,128,65536,0.164312
8388608,8.000000,256,32768,6.821512
8388608,8.000000,512,16384,0.581254
