NUM_ELEMENTS,NMB,LOCAL_SIZE,WORK_GROUPS,GIGAMULTS
2048,0.001953,8,256,0.043503
2048,0.001953,16,128,0.043846
2048,0.001953,32,64,0.045383
2048,0.001953,64,32,0.045917
2048,0.001953,128,16,0.046890
2048,0.001953,256,8,0.039762
2048,0.001953,512,4,0.045709
4096,0.003906,8,512,0.090609
4096,0.003906,16,256,0.090141
4096,0.003906,32,128,0.086729
4096,0.003906,64,64,0.083969
4096,0.003906,128,32,0.089431
4096,0.003906,256,16,0.089657
4096,0.003906,512,8,0.073876
8192,0.007812,8,1024,0.172266
8192,0.007812,16,512,0.143504
8192,0.007812,32,256,0.178990
8192,0.007812,64,128,0.176511
8192,0.007812,128,64,0.176792
8192,0.007812,256,32,0.157854
8192,0.007812,512,16,0.163578
16384,0.015625,8,2048,0.333761
16384,0.015625,16,1024,0.316281
16384,0.015625,32,512,0.321412
16384,0.015625,64,256,0.359494
16384,0.015625,128,128,0.305568
16384,0.015625,256,64,0.343102
16384,0.015625,512,32,0.351303
32768,0.031250,8,4096,0.587797
32768,0.031250,16,2048,0.519258
32768,0.031250,32,1024,0.611966
32768,0.031250,64,512,0.613022
32768,0.031250,128,256,0.623107
32768,0.031250,256,128,0.733726
32768,0.031250,512,64,0.719988
65536,0.062500,8,8192,1.149478
65536,0.062500,16,4096,1.318433
65536,0.062500,32,2048,1.367897
65536,0.062500,64,1024,1.594651
65536,0.062500,128,512,1.657724
65536,0.062500,256,256,1.358234
65536,0.062500,512,128,1.301606
131072,0.125000,8,16384,1.864246
131072,0.125000,16,8192,1.832162
131072,0.125000,32,4096,2.297905
131072,0.125000,64,2048,3.136351
131072,0.125000,128,1024,2.849283
131072,0.125000,256,512,2.385422
131072,0.125000,512,256,2.960402
262144,0.250000,8,32768,2.648254
262144,0.250000,16,16384,3.480285
262144,0.250000,32,8192,4.524594
262144,0.250000,64,4096,4.676208
262144,0.250000,128,2048,5.589479
262144,0.250000,256,1024,5.464684
262144,0.250000,512,512,5.420590
524288,0.500000,8,65536,0.021730
524288,0.500000,16,32768,0.807608
524288,0.500000,32,16384,1.724930
524288,0.500000,64,8192,1.438420
524288,0.500000,128,4096,1.601555
524288,0.500000,256,2048,1.438596
524288,0.500000,512,1024,0.232859
1048576,1.000000,8,131072,0.057553
1048576,1.000000,16,65536,0.049994
1048576,1.000000,32,32768,0.870847
1048576,1.000000,64,16384,2.904888
1048576,1.000000,128,8192,0.079285
1048576,1.000000,256,4096,2.476792
1048576,1.000000,512,2048,3.380340
2097152,2.000000,8,262144,2.908629
2097152,2.000000,16,131072,3.889287
2097152,2.000000,32,65536,5.278926
2097152,2.000000,64,32768,3.670966
2097152,2.000000,128,16384,0.103598
2097152,2.000000,256,8192,0.143371
2097152,2.000000,512,4096,0.138429
4194304,4.000000,8,524288,3.191914
4194304,4.000000,16,262144,0.319630
4194304,4.000000,32,131072,7.841129
4194304,4.000000,64,65536,8.033162
4194304,4.000000,128,32768,10.314997
4194304,4.000000,256,16384,7.725573
4194304,4.000000,512,8192,4.063073
8388608,8.000000,8,1048576,1.135749
8388608,8.000000,16,524288,5.658713
8388608,8.000000,32,262144,1.058928
8388608,8.000000,64,131072,5.693761
8388608,8.000000,128,65536,13.958201
8388608,8.000000,256,32768,0.710091
8388608,8.000000,512,16384,5.656449
